sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
material - steel/copper/aluminum/lithium,FCX,2026-03-30,12.15,36.10,3.13,-11.0%,-38.0%,-49.0%,48.0%
material - steel/copper/aluminum/lithium,TMQ,2026-03-30,NA,NA,NA,,2015.0%,122.0%,2015.0%
material - steel/copper/aluminum/lithium,AA,2026-03-30,7.92,14.09,1.26,2.0%,-74.0%,-22.0%,12.0%
material - steel/copper/aluminum/lithium,CENX,2026-03-30,22.65,134.64,2.08,0.0%,-137.0%,4.0%,-96.0%
material - steel/copper/aluminum/lithium,ALB,2026-03-30,33.44,NA,4.06,16.0%,-471.0%,44.0%,-1457.0%
material - steel/copper/aluminum/lithium,LAC,2026-03-30,NA,NA,NA,,-747.0%,227.0%,-564.0%
,,,,,,,,,
aerospace - & defense,RKLB,2026-03-30,NA,NA,54.29,36.0%,-19.0%,-15.0%,1.0%
aerospace - & defense,DXYZ,2026-03-30,4.08,7.55,NA,436.0%,-2752.0%,N/A,-2752.0%
aerospace - & defense,FLY,2026-03-30,NA,NA,23.64,539.0%,-7.0%,-1.0%,-60.0%
aerospace - & defense,LUNR,2026-03-30,NA,NA,16.87,-18.0%,-66.0%,76.0%,-73.0%
aerospace - & defense,RDW,2026-03-30,NA,NA,4.41,56.0%,23.0%,182.0%,6.0%
aerospace - & defense,PL,2026-03-30,NA,NA,31.37,41.0%,340.0%,205.0%,334.0%
aerospace - & defense,PLTR,2026-03-30,223.67,217.37,73.51,70.0%,672.0%,3127.0%,670.0%
aerospace - & defense,KTOS,2026-03-30,135.36,496.05,9.05,22.0%,202.0%,33.0%,51.0%
aerospace - & defense,AVAV,2026-03-30,56.48,NA,5.49,143.0%,7347.0%,445.0%,8846.0%
aerospace - & defense,RTX,2026-03-30,21.53,37.71,2.84,12.0%,14.0%,15.0%,9.0%
