,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP)
240,TXRH,2026-01-08,27.58,2.05
241,WING,2026-01-08,43.86,10.93
242,CAVA,2026-01-08,59.99,7.13
243,SG,2026-01-08,NA,1.33
244,TMUS,2026-01-08,19.03,2.58
245,VZ,2026-01-08,8.65,1.24
246,T,2026-01-08,7.85,1.38
247,CMCSA,2026-01-08,4.68,0.83
248,ERIC,2026-01-08,12.63,1.22
249,WMT,2026-01-08,39.66,1.28
250,COST,2026-01-08,49.03,1.45
251,TGT,2026-01-08,12.90,0.46
252,SFM,2026-01-08,14.93,0.87
253,PG,2026-01-08,20.66,3.89
254,PM,2026-01-08,28.77,6.20
255,UL,2026-01-08,23.12,2.13
256,CL,2026-01-08,22.66,3.24
257,KMB,2026-01-08,16.75,1.81
258,KVUE,2026-01-08,22.84,2.17
259,ULTA,2026-01-08,25.20,2.43
260,ELF,2026-01-08,60.99,3.70
261,HIMS,2026-01-08,62.62,3.49
262,NEE,2026-01-08,25.24,6.43
263,SO,2026-01-08,21.68,3.32
264,HE,2026-01-08,18.00,0.77
