sector	ticker	date	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
Fin - mm	VIRT	2026-01-16	8.00	1.82	26.0%	22.0%	N/A	29.0%
								
Fin - data & stock exchange	ICE	2026-01-16	31.77	8.38	7.0%	20.0%	N/A	24.0%
Fin - data & stock exchange	NDAQ	2026-01-16	36.17	7.09	3.0%	49.0%	N/A	38.0%
Fin - data & stock exchange	CME	2026-01-16	27.07	15.74	-3.0%	0.0%	N/A	-1.0%
Fin - data & stock exchange	CBOE	2026-01-16	29.58	6.24	8.0%	39.0%	N/A	38.0%
Fin - data & stock exchange	MRX	2026-01-16	14.87	0.99			N/A	
Fin - data & stock exchange	SPGI	2026-01-16	39.72	11.02	9.0%	18.0%	25.0%	21.0%
Fin - data & stock exchange	MSCI	2026-01-16	38.16	14.80	9.0%	11.0%	9.0%	16.0%
Fin - data & stock exchange	MCO	2026-01-16	43.38	12.83	11.0%	23.0%	22.0%	21.0%
Fin - data & stock exchange	TW	2026-01-16	36.05	12.51	13.0%	55.0%	17.0%	63.0%
Fin - data & stock exchange	MKTX	2026-01-16	29.85	7.73	1.0%	1.0%	N/A	-5.0%
								
Industry - farm machinery	DE	2026-01-16	27.81	3.05	11.0%	-6.0%	-6.0%	-14.0%
Industry - farm machinery	PCAR	2026-01-16	23.83	2.17	-19.0%	-41.0%	-41.0%	-39.0%
								
Industry - aerospace & defense	PLTR	2026-01-16	399.78	104.57	63.0%	206.0%	229.0%	231.0%
Industry - aerospace & defense	KTOS	2026-01-16	1061.36	17.13	26.0%	105.0%	12.0%	172.0%
Industry - aerospace & defense	AVAV	2026-01-16	NA	14.43	151.0%	-425.0%	126.0%	-327.0%
Industry - aerospace & defense	ONDS	2026-01-16	NA	200.18	582.0%	-25.0%	100.0%	-18.0%
Industry - aerospace & defense	RTX	2026-01-16	41.45	3.15	12.0%	28.0%	19.0%	30.0%
Industry - aerospace & defense	LMT	2026-01-16	32.38	1.83	9.0%	1.0%	6.0%	0.0%
Industry - aerospace & defense	NOC	2026-01-16	23.98	2.33	4.0%	11.0%	12.0%	7.0%
Industry - aerospace & defense	GD	2026-01-16	23.79	1.93	11.0%	14.0%	11.0%	14.0%
Industry - aerospace & defense	HII	2026-01-16	29.47	1.39	16.0%	82.0%	51.0%	44.0%
Industry - aerospace & defense	CW	2026-01-16	54.11	7.26	9.0%	12.0%	13.0%	12.0%
Industry - aerospace & defense	BWXT	2026-01-16	65.23	6.52	29.0%	19.0%	19.0%	18.0%
Industry - aerospace & defense	LDOS	2026-01-16	18.08	1.43	7.0%	3.0%	4.0%	1.0%
Industry - aerospace & defense	BAH	2026-01-16	14.86	1.01	-8.0%	-55.0%	-32.0%	-55.0%
Industry - aerospace & defense	CACI	2026-01-16	27.90	1.57	11.0%	7.0%	24.0%	4.0%
								
Industry - aerospace aftermarket	BA	2026-01-16	NA	2.40	30.0%	-16.0%	-19.0%	-12.0%
Industry - aerospace aftermarket	GE	2026-01-16	43.33	7.80	24.0%	33.0%	36.0%	17.0%
Industry - aerospace aftermarket	HWM	2026-01-16	63.22	11.36	14.0%	40.0%	26.0%	16.0%
Industry - aerospace aftermarket	TDG	2026-01-16	45.25	9.26	12.0%	24.0%	18.0%	34.0%
Industry - aerospace aftermarket	HEI	2026-01-16	72.21	9.48	19.0%	35.0%	9.0%	35.0%
Industry - aerospace aftermarket	CRS	2026-01-16	40.81	5.74	2.0%	43.0%	25.0%	45.0%
Industry - aerospace aftermarket	FTAI	2026-01-16	62.58	11.93	42.0%	54.0%	20.0%	46.0%
								
Industry - police equipment	MSI	2026-01-16	32.26	5.92	8.0%	4.0%	11.0%	0.0%
Industry - police equipment	AXON	2026-01-16	202.19	19.70	31.0%	-80.0%	-41.0%	-103.0%
								
Industry - auto manufactueres	RACE	2026-01-16	34.87	7.85	14.0%	12.0%	11.0%	8.0%
Industry - auto manufactueres	GM	2026-01-16	16.26	0.40	0.0%	-62.0%	-20.0%	-57.0%
