sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
quatum	IONQ	2026-02-14	NA	NA	151.36	222.0%	1920.0%	166.0%	1909.0%
quatum	RGTI	2026-02-14	NA	NA	708.96	-18.0%	1255.0%	19.0%	1255.0%
									
TMT - SAAS	SAP	2026-02-14	17.64	28.96	5.60	13.0%	37.0%	16.0%	26.0%
TMT - SAAS	CRM	2026-02-14	12.34	25.31	4.41	9.0%	44.0%	17.0%	37.0%
TMT - SAAS	NOW	2026-02-14	41.55	64.14	8.44	21.0%	17.0%	49.0%	4.0%
TMT - SAAS	ADBE	2026-02-14	11.38	15.80	4.56	10.0%	14.0%	8.0%	10.0%
TMT - SAAS	INTU	2026-02-14	19.02	27.35	5.72	18.0%	163.0%	54.0%	126.0%
TMT - SAAS	ADP	2026-02-14	14.19	20.38	4.03	6.0%	10.0%	7.0%	10.0%
TMT - SAAS	WDAY	2026-02-14	28.84	60.64	4.13	13.0%	49.0%	48.0%	31.0%
TMT - SAAS	ADSK	2026-02-14	33.11	44.89	7.14	18.0%	33.0%	3.0%	25.0%
TMT - SAAS	TEAM	2026-02-14	NA	NA	3.88	23.0%	18.0%	-64.0%	12.0%
TMT - SAAS	HUBS	2026-02-14	65.06	280.29	4.11	20.0%	375.0%	225.0%	993.0%
TMT - SAAS	TWLO	2026-02-14	40.15	573.31	3.38	14.0%	179.0%	68.0%	268.0%
TMT - SAAS	ZM	2026-02-14	14.96	17.99	5.71	4.0%	183.0%	59.0%	196.0%
TMT - SAAS	DOCU	2026-02-14	21.27	31.37	2.84	8.0%	33.0%	34.0%	34.0%
TMT - SAAS	BILL	2026-02-14	193.66	NA	3.00	14.0%	-106.0%	4966.0%	-108.0%
TMT - SAAS	GDDY	2026-02-14	12.44	15.36	2.47	10.0%	21.0%	15.0%	10.0%
TMT - SAAS	WIX	2026-02-14	20.73	30.00	1.97	14.0%	-61.0%	7.0%	-102.0%
TMT - SAAS	PATH	2026-02-14	122.18	26.70	3.90	16.0%	-196.0%	-149.0%	-1967.0%
									
CN	BABA	2026-02-14	16.27	21.44	2.49	5.0%	-52.0%	-67.0%	-52.0%
CN	NIO	2026-02-14	NA	NA	1.03	17.0%	-32.0%		-29.0%
									
Fin - bank	JPM	2026-02-14	NA	15.12	2.94	N/A	-1.0%	N/A	-7.0%
Fin - bank	BAC	2026-02-14	NA	13.71	1.95	N/A	35.0%	N/A	14.0%
Fin - bank	C	2026-02-14	NA	15.91	1.16	N/A	0.0%	N/A	-16.0%
Fin - bank	BK	2026-02-14	NA	15.89	2.00	N/A	25.0%	N/A	26.0%
Fin - bank	MS	2026-02-14	NA	16.77	2.27	N/A	17.0%	N/A	19.0%
Fin - bank	GS	2026-02-14	NA	17.64	2.23	N/A	11.0%	N/A	12.0%
									
Fin - credit	AXP	2026-02-14	10.22	21.94	2.88	10.0%	12.0%	N/A	14.0%
Fin - credit	COF	2026-02-14	NA	87.95	2.10	N/A	98.0%	N/A	82.0%
Fin - credit	AFRM	2026-02-14	14.32	61.27	4.84	29.0%	61.0%	N/A	61.0%
Fin - credit	KLAR	2026-02-14	NA	NA	2.13	28.0%	-680.0%	-216.0%	-628.0%
Fin - credit	SOFI	2026-02-14	17.84	51.47	5.18	32.0%	209.0%	N/A	-48.0%
Fin - credit	UPST	2026-02-14	57.04	71.35	2.88	35.0%	-826.0%	-50860.0%	-778.0%
Fin - credit	FICO	2026-02-14	34.75	49.78	15.46	16.0%	28.0%	30.0%	4.0%
									
Fin - payment	V	2026-02-14	20.62	29.76	14.46	15.0%	8.0%	14.0%	15.0%
Fin - payment	MA	2026-02-14	22.53	31.38	14.08	18.0%	25.0%	27.0%	21.0%
Fin - payment	FISV	2026-02-14	6.79	9.37	1.51	1.0%	-19.0%	-14.0%	-14.0%
Fin - payment	PYPL	2026-02-14	5.15	7.45	1.11	5.0%	15.0%	12.0%	28.0%
Fin - payment	XYZ	2026-02-14	10.05	10.02	1.26	2.0%	86.0%	28.0%	63.0%
Fin - payment	TOST	2026-02-14	37.49	50.52	2.58	22.0%	206.0%	121.0%	206.0%
									
Fin - broker	SCHW	2026-02-14	7.93	20.12	6.02	8.0%	38.0%	N/A	38.0%
Fin - broker	IBKR	2026-02-14	-2.31	33.81	3.19	13.0%	25.0%	N/A	31.0%
Fin - broker	HOOD	2026-02-14	34.30	36.89	15.17	27.0%	18.0%	N/A	-34.0%
Fin - broker	COIN	2026-02-14	36.17	37.43	6.05	-69.0%	-159.0%	N/A	-152.0%
									
Fin - asset manage	BLK	2026-02-14	19.68	30.61	7.01	26.0%	-24.0%	N/A	-33.0%
Fin - asset manage	BX	2026-02-14	23.90	33.58	11.38	0.0%	51.0%	N/A	44.0%
Fin - asset manage	KKR	2026-02-14	30.62	43.66	4.08	153.0%	58.0%	N/A	-2.0%
Fin - asset manage	BN	2026-02-14	16.24	98.33	1.53	7.0%	-214.0%	N/A	79.0%
Fin - asset manage	APO	2026-02-14	10.59	22.71	2.24	84.0%	2.0%	N/A	-53.0%
Fin - asset manage	SSNC	2026-02-14	11.37	22.86	2.80	8.0%	-8.0%	2.0%	-22.0%
Fin - asset manage	CWAN	2026-02-14	90.32	15.13	10.60	77.0%	-334.0%	236.0%	-385.0%
									
