sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
TMT - SAAS,INTU,2026-01-20,36.22,7.57,18.0%,163.0%,54.0%,126.0%
TMT - SAAS,ADP,2026-01-20,25.16,4.94,7.0%,6.0%,5.0%,6.0%
TMT - SAAS,WDAY,2026-01-20,76.83,5.23,13.0%,49.0%,48.0%,31.0%
TMT - SAAS,ADSK,2026-01-20,49.28,7.83,18.0%,33.0%,3.0%,25.0%
TMT - SAAS,TEAM,2026-01-20,NA,5.69,21.0%,87.0%,55.0%,-58.0%
TMT - SAAS,HUBS,2026-01-20,NA,5.34,21.0%,117.0%,192.0%,103.0%
TMT - SAAS,TWLO,2026-01-20,287.17,3.71,15.0%,-995.0%,78.0%,-483.0%
TMT - SAAS,ZM,2026-01-20,15.80,5.01,4.0%,183.0%,59.0%,196.0%
TMT - SAAS,DOCU,2026-01-20,39.07,3.54,8.0%,33.0%,34.0%,34.0%
TMT - SAAS,BILL,2026-01-20,NA,3.00,10.0%,-128.0%,-29.0%,-133.0%
TMT - SAAS,GDDY,2026-01-20,17.83,2.87,10.0%,21.0%,15.0%,10.0%
TMT - SAAS,WIX,2026-01-20,33.04,2.17,14.0%,-61.0%,7.0%,-102.0%
TMT - SAAS,PATH,2026-01-20,33.89,4.95,16.0%,-196.0%,-149.0%,-1967.0%
,,,,,,,,
CN,BABA,2026-01-20,22.36,2.60,5.0%,-52.0%,-67.0%,-52.0%
CN,NIO,2026-01-20,NA,0.95,17.0%,-32.0%,,-29.0%
,,,,,,,,
Fin - bank,JPM,2026-01-20,15.13,2.94,N/A,-1.0%,N/A,-7.0%
Fin - bank,BAC,2026-01-20,13.59,1.95,N/A,35.0%,N/A,14.0%
Fin - bank,C,2026-01-20,16.19,1.18,N/A,0.0%,N/A,-16.0%
Fin - bank,BK,2026-01-20,16.29,2.05,N/A,25.0%,N/A,26.0%
Fin - bank,MS,2026-01-20,17.84,2.42,N/A,17.0%,N/A,19.0%
Fin - bank,GS,2026-01-20,18.39,2.33,N/A,11.0%,N/A,12.0%
,,,,,,,,
Fin - credit,AXP,2026-01-20,23.65,3.08,10.0%,19.0%,N/A,16.0%
